""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"UCON7"	229.790453735149	-0.0130665429888105	0.0474171688764475	-0.275503551596392	0.782929397580312	NA
"MLTR13"	1689.98785263356	-0.0112619489403957	0.0765616316888815	-0.147119238413746	0.883037905046766	0.999457336074246
"(GCTTG)n"	85.8925652217357	0.039583872972904	0.0371113089698798	1.07573100076415	0.282047578691785	NA
"(CAAAT)n"	148.218031059138	-0.00472211738585617	0.0463711283172839	-0.101890214647312	0.918843817119066	NA
"MURVY-LTR"	10155.3318121376	-0.0154526759065993	0.0395210353680217	-0.39157129575044	0.695375000265701	0.999457336074246
"LTR37B"	1705.03713990978	0.100952556108696	0.0746418277273361	1.3524119495422	0.176243568861815	0.999457336074246
"(CAACT)n"	57.2696409576079	0.0629487230814065	0.0368242945283638	1.75883131178453	0.0786061647292996	NA
"Tigger17b"	368.614271303214	0.0600386173896479	0.0707319415752098	0.848813566594639	0.395985039916056	0.999457336074246
"MER74C"	783.914280759477	-0.0425842219432963	0.0762735530823642	-0.558339029520209	0.576612898210077	0.999457336074246
"(TTTAG)n"	57.3735727731087	-0.0239513978373248	0.036965884301475	-0.652394810897602	0.514146510996283	NA
"UCON8"	241.191331913817	-0.0845134802751585	0.0527394932049239	-1.61505999097305	0.106297704066758	NA
"LTR75B"	377.166091692485	-0.0633381433615073	0.0698718588348621	-0.907240807366319	0.364279468490948	0.999457336074246
"LTR88c"	603.540519784848	0.0589697272899623	0.0747106760503375	0.789627985319161	0.429745059636434	0.999457336074246
"MER57D"	1830.16970895636	0.102548821877662	0.0739865525758598	1.38602093772498	0.165740510202087	0.999457336074246
"(ACTG)n"	760.232476596644	0.039115868703093	0.0761044932378177	0.514092124700401	0.607187583167924	0.999457336074246
"X9_LINE"	97.7510261448399	-0.0507313656727428	0.041681373825121	-1.23340483244834	0.217424762965621	NA
"(ACTAG)n"	130.556797739231	-0.00760290068358239	0.0434607800676137	-0.174604914931552	0.861390086359636	NA
"MER66-int"	94.2404894397939	-0.0132143908454024	0.0432999341449233	-0.305208139100276	0.76020763386709	NA
"LTR58"	21.7700498016488	-0.0281865573493447	0.0202256080150105	-1.52692180529768	0.126780456678298	NA
"Kanga1"	1483.61724205596	0.0596802239599311	0.0765370137973689	0.77998344049351	0.435400622326517	0.999457336074246
"MER91B"	1560.7905790967	0.056228439234672	0.0766013452334973	0.734225036675597	0.46281159682983	0.999457336074246
"tRNA-Arg-AGG"	317.327445233929	0.107085930177019	0.0553346775749449	1.95589582657175	0.0504774270780261	0.999457336074246
"(CGAA)n"	50.1059443645773	0.0188016643913237	0.0357740752011863	0.527235494537207	0.598030062835021	NA
"LTR107_Mam"	482.196372787141	0.145862750053587	0.0725557067073739	2.01297339485571	0.0441174283354714	0.999457336074246
"Tigger2b"	988.150885264093	0.0863470465340258	0.0751922692015495	1.14843651687785	0.250788406037507	0.999457336074246
"Tigger10"	1167.35473415847	-0.0112072683844984	0.0764999511363165	-0.146491677691066	0.883533259288049	0.999457336074246
"MLT1H1-int"	329.169307588079	0.00746911704997621	0.0658285370112992	0.113361847324621	0.909743686104488	0.999457336074246
"Charlie13b"	616.238606927251	-0.0637157373339869	0.0751325455052193	-0.847897790856242	0.396494894964391	0.999457336074246
"Tigger14a"	769.553509985987	0.0442075674049984	0.0742241499387332	0.595473521530087	0.551526993334853	0.999457336074246
"(CTATT)n"	218.351953784559	-0.00188456428305537	0.0608914261354177	-0.0309426322097138	0.975315290600163	NA
"(CCTAG)n"	155.700503948888	-0.00632737271077975	0.0540399357306635	-0.117244486629246	0.90666631476012	NA
"(CCGCG)n"	1318.74827474142	0.0866028012107714	0.0678847852417205	1.27823603983197	0.201166212202981	0.999457336074246
"(CTCG)n"	1746.27736798646	0.0728455750239695	0.0755943790578672	0.964110298691498	0.334990629929009	0.999457336074246
"Helitron3Na_Mam"	869.580929666721	-0.0892870416575569	0.076647769172651	-1.16497454148604	0.244029298167924	0.999457336074246
"tRNA-Glu-GAG_"	793.097768987847	0.104679620547442	0.0737337902099253	1.42121797962401	0.155253399310934	0.999457336074246
"MER92C"	486.281934403898	-0.0349547561142525	0.070881859872693	-0.493241748367682	0.621841782447709	0.999457336074246
"MLT1F-int"	2380.41712598578	-0.0260725088697555	0.072811966626161	-0.358023595592842	0.720325655664306	0.999457336074246
"HAL1_SS"	204.365034811701	-0.043217646456035	0.0558897246670254	-0.77532340321368	0.438148583693109	NA
"MER134"	183.115605089045	0.0234015277040155	0.0413557124166691	0.566380852682989	0.571134908062741	NA
"MER76-int"	91.6070768046846	0.0150405236070773	0.0325117027374386	0.463906616680922	0.64271465205921	NA
"L1M3c"	1681.97800989774	0.0387114318650768	0.0764916128356868	0.506236936889071	0.612690327858807	0.999457336074246
"(AGATG)n"	64.8713617036028	0.0206629530777595	0.035711541748941	0.579767201294491	0.562071618503736	NA
"MamTip3"	881.792562749149	0.00741971806565882	0.0759078730890499	0.0977903819996695	0.922098744829447	0.999457336074246
"(CAGTG)n"	1143.1934154398	0.0841597738539123	0.0686839578521083	1.2274477269543	0.219654357398238	0.999457336074246
"X7A_LINE"	603.952629112938	0.00755384006843783	0.073711485008563	0.102426674676891	0.918418011683169	0.999457336074246
"(CAGGC)n"	518.214585960541	-0.0493814378858867	0.0681270670762545	-0.724891227322284	0.468518763169903	0.999457336074246
"Kanga2_a"	1710.68468673304	-0.132881357156201	0.0753743032239997	-1.7627651549195	0.077940106621038	0.999457336074246
"MamRep38"	1123.3545097017	-0.0687709911113062	0.0766255441679771	-0.897491781573919	0.369456556865593	0.999457336074246
"MER97b"	260.883641087246	-0.0279582714748913	0.0581783570604263	-0.481127077749066	0.630426184343619	NA
"(CACAA)n"	423.127314749788	-0.0655280148170456	0.0567505664559501	-1.16061519883256	0.245798421709261	0.999457336074246
"Kanga11a"	938.038651846576	0.0815928922010651	0.0761954303471431	1.07125924375647	0.284052879911122	0.999457336074246
"Charlie22a"	701.175781770992	0.0490604991536748	0.0762861598281519	0.643142315061389	0.520131759485028	0.999457336074246
"LTR41B"	2790.09054304178	0.0440781734069446	0.0758349658489862	0.581416036267793	0.560960092087872	0.999457336074246
"(AAATG)n"	60.4224381704593	0.00516276504453467	0.0397914224014999	0.129755767143041	0.896759659671545	NA
"MLT1M"	1843.84975325261	0.141059997542847	0.0723405051422823	1.9501290952248	0.0511607341959055	0.999457336074246
"Zaphod2"	760.728492430691	-0.00663324824440983	0.0741815361896277	-0.0893792682056275	0.928780499095353	0.999457336074246
"(CCCCCG)n"	891.922132314351	0.000555310726407489	0.0645051868851079	0.00861619907004087	0.99312535285034	0.999457336074246
"LTR84b"	1036.9343265418	-0.014986489016222	0.0754410358244628	-0.198555873155881	0.842610174352065	0.999457336074246
"RLTR1F_Mm"	994.21311892862	0.146343102459947	0.0765942694770558	1.91198320974944	0.0558783476751148	0.999457336074246
"(CTCCG)n"	729.500209816314	0.127032001668831	0.0670594025605996	1.90211280256647	0.0571564090889686	0.999457336074246
"(CAGTT)n"	171.997987788821	0.0274196136243676	0.0512549060947423	0.535935576376771	0.592003075781188	NA
"LTR52-int"	345.867627922492	-0.0279082378819053	0.0668432319514464	-0.417439723176445	0.676356804729822	0.999457336074246
"MER110-int"	193.108767437635	0.0541841263216831	0.0507810672002606	1.0697576869791	0.284728392757185	NA
"(TTAGG)n"	62.610428116155	0.00907917778902101	0.027307700020503	0.333747806728381	0.738569871366251	NA
"(CAGGT)n"	41.3712867186293	0.0212205846365243	0.0308766987607216	0.69038369533279	0.489952927374145	NA
"RMER16B3"	557.596577665191	-0.0639533121095343	0.0646165992502738	-0.990578193453558	0.321891590104509	0.999457336074246
"UCON19"	84.0117584463573	0.0321667035941444	0.036747111795076	0.883073255653308	0.377196692964736	NA
"(TACTG)n"	677.057191117579	0.0765999602153933	0.0726028043578566	1.05613034775195	0.290908667159979	0.999457336074246
"LTR86C"	454.611156585065	0.101347876099709	0.0686736359403681	1.47769436410084	0.13948960358701	0.999457336074246
"U3"	2693.69790657282	0.0924816048405543	0.0720944004351422	1.28410066939859	0.199106733878477	0.999457336074246
"LTR65"	983.309067295015	0.111350794606406	0.0766493567065241	1.4533919409472	0.146114962791204	0.999457336074246
"RLTR20A2"	2334.56716573253	0.0448250475626504	0.0736177600855833	0.608973714496337	0.542541861942836	0.999457336074246
